division_name,block_name,panchayat_name,total_rakba_in_hectares,total_jamarashi_in_lakh_rupees,jalkars_located_in_multiple_panchayat,district_name,jalkar_name
Munger,Khagaria,Belasimri,101.2,5.32,Rani Sakar-Pura,Khagaria,Denimoin Jalkar
Munger,Khagaria,Olapur Gangour,19.492,0.077,Janhagira,Khagaria,Olapur Itwa Jalkar Chaur
Munger,Khagaria,Mandar Dakshini,48.732,0.8776,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 1
Munger,Khagaria,Mandar Dakshini,12.0,0.0896,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 2
Munger,Khagaria,Mandar Dakshini,8.0,0.1379,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 3
Munger,Khagaria,Mandar Dakshini,16.0,0.3479,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 4
Munger,Khagaria,Mandar Dakshini,10.0,0.1358,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 5
Munger,Khagaria,Mandar Dakshini,22.52,0.1792,Marar Uattari,Khagaria,Madar Madhura Jalkar Khand 6
Munger,Parbatta,Dariyapur Bhelwa,76.0,7.0595,"Jorawarpur,Temtha Karari,Siyadatpur Aruwani",Khagaria,Madhopur Pat Par Se Tofir Tappa Jamalpur Jalkar (Kajalvan Man)
Purnia,Bahadurganj,Samesar,6.32,0.02,"Palasmani,Samesar",Kishanganj,Satail Stamrar
Purnia,Dighalbank,Lohagara,4.04,0.02205,"Singhimari,Lohagara",Kishanganj,Palsa Milik Jalkar
Purnia,Dighalbank,Dhangarha,3.63,0.615,"Laxmipur,Dhangarha",Kishanganj,Kalpir Jalkar
Purnia,Dighalbank,Athgachhiya,8.76,0.025,"Dhangarha,Athgachhiya",Kishanganj,Gorumara Jalkar
Purnia,Kishanganj,Teusa,0.0,0.0,"Gachhpara,Teusa",Kishanganj,Ramjan Sudhani Jalkar
Purnia,Kochadhaman,Haldikhora,0.8,0.0078,"Haldikhora,Sunderbari",Kishanganj,Mariya Dhar Jalkar Sundar Badi Se Chaiparabadi
Purnia,Kochadhaman,Purandaha,0.0,0.0,"Purandaha,Majkuri,Balia",Kishanganj,Ratuua Jalkar
Purnia,Kochadhaman,Nazarpur,0.3,0.01575,"Gurgaon,Nazarpur",Kishanganj,Rasulpur Harijan Tank
Purnia,Kochadhaman,Modho,3.54,0.0265,"Bhagal,Modho",Kishanganj,Maudhau Jalkar
Purnia,Kochadhaman,Barijan Pothimari Jagir,0.4,0.0145,"Bualdah,Barijan Pothimari Jagir",Kishanganj,Durgapur Mariya Kanakai Jalkar
Purnia,Kochadhaman,Sunderbari,3.0,0.0285,"Haldikhora,Sunderbari",Kishanganj,Tupamari Jalkar
Purnia,Kochadhaman,Sunderbari,7.45,0.055,"Sunderbari,Kochadhaman",Kishanganj,Mariya Kanakai Jalkar Titihha Se Rani
Purnia,Kochadhaman,Himmatnagar,2.54,0.075,Kutti,Kishanganj,Mariya Kanakai Jalkar Kutti
Purnia,Kochadhaman,Himmatnagar,28.15,0.118,"Bhagal,Himmatnagar",Kishanganj,Kankai Shahpur Bhagal Jalkar
Purnia,Kochadhaman,Kochadhaman,8.0,0.0305,Sunderbari,Kishanganj,Mariya Kanakai Jalkar Turani
Purnia,Kochadhaman,Kochadhaman,0.2,0.0115,Purandaha,Kishanganj,Alam Nagar High School Tank Jalkar
Purnia,Kochadhaman,Balia,1.38,0.0036,"Balia,Bagalbari",Kishanganj,Jaidhal Jalkar
Purnia,Kochadhaman,Deramari,13.44,0.975,"Deramari,Patkoikala",Kishanganj,Tetliya Jalkar Sah Makhana
Purnia,Kochadhaman,Patkoikala,0.0,0.0,"Kutti,Bagalbari,Patkoikala",Kishanganj,Mahananda Jalkar
Purnia,Thakurganj,Doodhaunti,13.0,0.01103,"Doodhaunti,Bhatagaon",Kishanganj,Mari Kunda Jalkar
Koshi,Alamnagar,Kishanpur Ratwara,0.0,0.0,Gangapur,Madhepura,Anda Mahal Jalkar
Koshi,Chausa,Phulaut East,20.0,1.2,Phulaut West,Madhepura,Phulauth Jalkar
Koshi,Chausa,Laua Lagam East,4.84,1.425,Laua Lagan West,Madhepura,Laualgan Jalkar
Koshi,Chausa,Laua Lagam East,0.648,0.105,"Laua Lagan West,Arajpur West",Madhepura,Bhagwati Sthan Talab
Koshi,Shankarpur,Rampur Lahi,0.0,0.0,Maura -Jharkaha,Madhepura,Bariyahi
Darbhanga,Kaluahi,Pursauliya,3.22,0.035,Kalikapur,Madhubani,Bharatpatti Jalkar Bharatpatti
Munger,Asarganj,Amaiya,0.464,0.0182,"Amaiya,Chorganw",Munger,Belharni Pokhar
Munger,Bariarpur,Jhauabahiyar,98.4,1.4,"Bindadiyara Harinmar,Jhauabahiyar,Kalyan Tola",Munger,Binda Diyarajalkar Tauji No 1351
Munger,Bariarpur,Bariyarpur (North),534.8,0.83,"Bariyarpur (South),Paria,Bariyarpur (North)",Munger,Bariyarpurraj Jalkar Tauji No 1337
Munger,Bariarpur,Karhariya (West),8.62,0.6,Nirpur,Munger,Karhadia Nala Chandani Jalkar
Munger,Kharagpur,Baijalpur,5.508,0.018,"Agrahan,Badhouna,Kouriya,Ramanka Bad (W)",Munger,Maninadi Jalkar Baijalpur
Munger,Kharagpur,Rataitha,1.5,0.012,Barui,Munger,Ratni Special
Munger,Kharagpur,Ramanka Bad (W),163.04,2.0,Dariyapur,Munger,Khargpur Jheel
Tirhut,Muraul/Dholi,Mahmamdpur Badal,0.0,0.0,Pilkhi Gajpatti,Muzaffarpur,Budhi Gandak Nadi Dighra Baisham Tepari Tak
Tirhut,Minapur,Harser,140.0,0.0,Chandparna,Muzaffarpur,Budi Gandak Nadi
Patna,Dulhin Bazar,Rajipur,4.048582996,0.0145,"Akabarpur Ranipur,Azadasikaria",Patna,Rajipur
Patna,Dulhin Bazar,Aain Kha Vimanichak,0.275303644,0.0022,Agwanpur,Patna,Kasimchak
Patna,Dulhin Bazar,Aain Kha Vimanichak,4.923076923,0.0022,Kalyanpur,Patna,Bhiminichak
Patna,Dulhin Bazar,Aain Kha Vimanichak,4.267206478,0.0022,"Barah,Belchhi,East Saksohara",Patna,Bhiminichak
Patna,Dulhin Bazar,Sihi,3.441295547,0.0029,"Bara,Berra",Patna,Jimadih
Patna,Dulhin Bazar,Sihi,1.44534413,0.0029,Adla,Patna,Fatehpur
Patna,Dulhin Bazar,Soniyawa,0.117408907,0.00175,Aunta,Patna,Jamui
Patna,Dulhin Bazar,Soniyawa,7.125506073,0.00365,Baluwa,Patna,Soniyaon
Purnia,Krityanand Nagar,Kajha,5.672,0.026,Ganeshpur,Purnia,Kaja Ganeshpur Liwari Dhar Jalkar
Purnia,Rupauli,Basantpur,8.49,0.65,Goriyar Patti Srimatta,Purnia,Mara Koshi Nagardhar Jalkar Sah Makhana Mahal
Koshi,Mahishi,Maheshi North,2.734022849,0.14175,"Maheshi North,Maheshi South",Sarhasa,Manua Sohjaniya Jalkar
